src\app\admin\blog\[id]\page.tsx:537 ['✕']
src\app\admin\insights\page.tsx:128 ['🎥', '🎙', '📰', '📄']
src\app\admin\mail\page.tsx:219 ['✨']
src\components\ui\LanguageSwitcher.tsx:53 ['✓']
src\components\ui\TranslateWidget.tsx:18 ['🇬🇧']
src\components\ui\TranslateWidget.tsx:19 ['🇰🇪']
src\components\ui\TranslateWidget.tsx:20 ['🇫🇷']
src\components\ui\TranslateWidget.tsx:21 ['🇸🇦']
src\components\ui\TranslateWidget.tsx:22 ['🇨🇳']
src\components\ui\TranslateWidget.tsx:23 ['🇹🇼']
src\components\ui\TranslateWidget.tsx:24 ['🇧🇷']
src\components\ui\TranslateWidget.tsx:25 ['🇪🇸']
src\components\ui\TranslateWidget.tsx:26 ['🇮🇳']
src\components\ui\TranslateWidget.tsx:27 ['🇷🇺']
src\components\ui\TranslateWidget.tsx:28 ['🇩🇪']
src\components\ui\TranslateWidget.tsx:29 ['🇮🇹']
src\components\ui\TranslateWidget.tsx:30 ['🇯🇵']
src\components\ui\TranslateWidget.tsx:31 ['🇰🇷']
src\components\ui\TranslateWidget.tsx:32 ['🇪🇹']
src\components\ui\TranslateWidget.tsx:33 ['🇸🇴']
src\components\ui\TranslateWidget.tsx:34 ['🇳🇬']
src\components\ui\TranslateWidget.tsx:35 ['🇳🇬']
src\components\ui\TranslateWidget.tsx:36 ['🇳🇬']
src\components\ui\TranslateWidget.tsx:37 ['🇿🇦']
src\components\ui\TranslateWidget.tsx:38 ['🇿🇦']
src\components\ui\TranslateWidget.tsx:39 ['🇷🇼']
src\components\ui\TranslateWidget.tsx:40 ['🇺🇬']
src\components\ui\TranslateWidget.tsx:41 ['🇳🇱']
src\components\ui\TranslateWidget.tsx:42 ['🇵🇱']
src\components\ui\TranslateWidget.tsx:43 ['🇹🇷']
src\components\ui\TranslateWidget.tsx:44 ['🇻🇳']
src\components\ui\TranslateWidget.tsx:45 ['🇹🇭']
src\components\ui\TranslateWidget.tsx:46 ['🇺🇦']
src\components\ui\TranslateWidget.tsx:47 ['🇮🇷']
src\components\ui\TranslateWidget.tsx:178 ['✓']
src\lib\i18n.ts:9 ['🇬🇧']
src\lib\i18n.ts:10 ['🇰🇪']
src\lib\i18n.ts:11 ['🇫🇷']
src\lib\i18n.ts:12 ['🇸🇦']
src\lib\i18n.ts:13 ['🇨🇳']
src\lib\i18n.ts:14 ['🇧🇷']
src\lib\i18n.ts:15 ['🇪🇸']
src\lib\i18n.ts:16 ['🇮🇳']
